company_name,stock_code
한화비전,489790
HD현대마린솔루션,443060
에이피알,278470
엘앤에프,066970
포스코DX,022100
에코프로머티,450080
두산로보틱스,454910
이수스페셜티케미컬,457190
OCI,456040
LG에너지솔루션,373220
SK스퀘어,402340
카카오페이,377300
HD현대중공업,329180
크래프톤,259960
카카오뱅크,323410
에스디바이오센서,137310
F&F,383220
SK아이이테크놀로지,361610
SK바이오사이언스,302440
DL이앤씨,375500
하이브,352820
에스케이바이오팜,326030
한화시스템,272210
포스코퓨처엠,003670
더블유게임즈,192080
우리금융지주,316140
한일시멘트,300720
HS효성첨단소재,298050
효성중공업,298040
효성티앤씨,298020
셀트리온,068270
SK케미칼,285130
BGF리테일,282330
롯데웰푸드,280360
카카오,035720
오리온,271560
미원에스씨,268280
넷마블,251270
HD현대,267250
HD현대일렉트릭,267260
덴티움,145720
두산밥캣,241560
삼성바이오로직스,207940
동서,026960
LIG넥스원,079550
삼성물산,028260
씨에스윈드,112610
삼성에스디에스,018260
HL만도,204320
코스맥스,192820
종근당,185750
현대로템,064350
한진칼,180640
JB금융지주,175330
한국콜마,161890
한국타이어앤테크놀로지,161390
GS리테일,007070
하나투어,039130
한국항공우주,047810
이마트,139480
iM금융지주,139130
메리츠금융지주,138040
BNK금융지주,138930
현대위아,011210
미스토홀딩스,081660
한미약품,128940
삼성생명,032830
한화생명,088350
코오롱인더,120110
지역난방공사,071320
한전기술,052690
GKL,114090
SK,034730
하이트진로,000080
키움증권,039490
영원무역,111770
NAVER,035420
KB금융,105560
풍산,103140
LG이노텍,011070
LG유플러스,032640
한전KPS,051600
CJ제일제당,097950
팬오션,028670
SK이노베이션,096770
삼성카드,029780
후성,093370
아모레퍼시픽,090430
롯데쇼핑,023530
현대글로비스,086280
하나금융지주,086790
한미반도체,042700
금호타이어,073240
GS,078930
LG디스플레이,034220
기업은행,024110
강원랜드,035250
한국금융지주,071050
엔씨소프트,036570
현대백화점,069960
대웅제약,069620
티케이지휴켐스,069260
한샘,009240
LG전자,066570
신한지주,055550
코웨이,021240
LG생활건강,051900
LG화학,051910
대우건설,047040
포스코인터내셔널,047050
HD현대인프라코어,042670
한화오션,042660
두산에너빌리티,034020
한국가스공사,036460
케이티앤지,033780
HD한국조선해양,009540
대한유화,006650
케이티,030200
제일기획,030000
SKC,011790
SK하이닉스,000660
삼성E&A,028050
HDC,012630
한온시스템,018880
현대엘리베이터,017800
에스원,012750
HMM,011200
한국카본,017960
오뚜기,007310
엘에스일렉트릭,010120
동원시스템즈,014820
삼성중공업,010140
롯데케미칼,011170
세아베스틸지주,001430
호텔신라,008770
고려아연,010130
한올바이오파마,009420
SK텔레콤,017670
미원상사,002840
현대모비스,012330
현대해상,001450
한국전력공사,015760
녹십자,006280
한솔케미칼,014680
동원산업,006040
에스엘,005850
영원무역홀딩스,009970
DN오토모티브,007340
율촌화학,008730
한미사이언스,008930
POSCO홀딩스,005490
삼성증권,016360
금호석유화학,011780
세방전지,004490
코스모화학,005420
S-Oil,010950
한화에어로스페이스,012450
현대제철,004020
신세계,004170
OCI홀딩스,010060
현대건설,000720
TCC스틸,002710
HD현대미포,010620
GS건설,006360
삼성SDI,006400
삼성전기,009150
녹십자홀딩스,005250
LS,006260
농심,004370
한화,000880
영풍,000670
롯데정밀화학,004000
DL,000210
태광산업,003240
NH투자증권,005940
미래에셋증권,006800
삼성화재해상보험,000810
삼양식품,003230
오리온홀딩스,001800
삼성전자,005930
KG모빌리티,003620
현대자동차,005380
한화솔루션,009830
롯데지주,004990
기아,000270
CJ,001040
두산,000150
DB손해보험,005830
대웅,003090
케이씨씨,002380
롯데칠성음료,005300
아모레퍼시픽홀딩스,002790
대상,001680
LG,003550
세아제강지주,003030
대한전선,001440
한국앤컴퍼니,000240
대한항공,003490
유한양행,000100
CJ대한통운,000120
